Code,Description,pax_1990,pax_1991,pax_1992,pax_1993,pax_1994,pax_1995,pax_1996,pax_1997,pax_1998,pax_1999
715,Boeing 727-200/231A,94272153.0,81248455.0,77838421.0,68608559.0,60739609.0,59844847.0,60720292.0,60066292.0,54545658.0,44286113.0
655,McDonnell Douglas DC9 Super 80/MD81/82/83/88,59948179.0,65892234.0,75750093.0,77372833.0,83503676.0,89869184.0,92882953.0,94953740.0,93808449.0,93978136.0
619,Boeing 737-300,56432274.0,58666232.0,58827415.0,65563568.0,82593405.0,91133897.0,96300739.0,101348333.0,114407141.0,122351524.0
620,Boeing 737-100/200,50398565.0,48136649.0,46099426.0,44774686.0,51036182.0,50404601.0,49255626.0,44115543.0,40458719.0,35998955.0
640,McDonnell Douglas DC-9-30,38933219.0,31338382.0,26379830.0,24180508.0,32038520.0,30488347.0,32633573.0,27819887.0,29786649.0,25151625.0
622,Boeing 757-200,25258696.0,30293980.0,36131411.0,44140992.0,50974745.0,58134156.0,63814546.0,65930630.0,72198700.0,80049234.0
730,McDonnell Douglas DC-10-10,19337292.0,18779034.0,18806161.0,15733510.0,10464397.0,9038514.0,8370886.0,8532892.0,5699296.0,3004691.0
760,Lockheed L-1011-1/100/200,11139255.0,10157578.0,12040859.0,10881519.0,10378439.0,10821895.0,9198084.0,7251664.0,6262545.0,4156967.0
710,Boeing 727-100,10262572.0,7069830.0,4014303.0,1934545.0,22.0,127.0,1589.0,9657.0,21672.0,54798.0
650,McDonnell Douglas DC-9-50,9986159.0,7359075.0,7379667.0,7130519.0,10420535.0,10616196.0,9989218.0,10298870.0,10258752.0,9648207.0
625,Boeing 767-200/ER/EM,8460903.0,7004735.0,7002928.0,6845163.0,6444765.0,7390402.0,7548984.0,6809745.0,7370685.0,7439046.0
617,Boeing 737-400,5996722.0,8506964.0,9645313.0,11529530.0,13794167.0,13542970.0,14816167.0,15871490.0,15291592.0,15395886.0
690,Airbus Industrie A300B/C/F-100/200,5296795.0,4301964.0,3803155.0,3784997.0,1516657.0,628103.0,824939.0,55317.0,,
602,Fokker F28-4000/6000 Fellowship,4983697.0,2617158.0,2390750.0,2283836.0,2825854.0,2676096.0,1860521.0,1853643.0,2179973.0,2058573.0
630,McDonnell Douglas DC-9-10,4712082.0,3825144.0,3185343.0,2791662.0,3076091.0,2898894.0,2732309.0,5774125.0,1518320.0,1294067.0
621,Boeing 737-200C,4183816.0,4344816.0,4015859.0,3180433.0,3630993.0,4055992.0,3727616.0,2526155.0,1651531.0,2034909.0
626,Boeing 767-300/300ER,4072991.0,5257808.0,5689179.0,6481007.0,7751326.0,8670978.0,9829198.0,10871484.0,14164892.0,18293721.0
860,McDonnell Douglas DC-8-71,3243508.0,1203119.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
867,British Aerospace BAe-146-200,3181764.0,1339048.0,619076.0,393144.0,109368.0,783254.0,742140.0,16005.0,,
733,McDonnell Douglas DC-10-40,3018169.0,2995378.0,2993396.0,3072143.0,2894217.0,3030176.0,3087644.0,2419288.0,2871313.0,3834070.0
816,Boeing 747-100,2993052.0,2634150.0,2598427.0,2969501.0,2266659.0,2831054.0,2051918.0,1890151.0,1699946.0,155020.0
732,McDonnell Douglas DC-10-30,2123883.0,1894620.0,2328483.0,2927024.0,2595973.0,2660998.0,2900540.0,2838228.0,2950122.0,2394252.0
603,Fokker 100,1811327.0,3010662.0,6351229.0,9474082.0,14023674.0,14463960.0,14747825.0,14657233.0,13727264.0,13155469.0
693,Airbus Industrie A310-300,1574669.0,121265.0,180759.0,210832.0,117104.0,,,,,
616,Boeing 737-500,1416259.0,4927516.0,10444046.0,13720947.0,18249605.0,20116703.0,19351706.0,21527869.0,22200263.0,21676700.0
691,Airbus Industrie A300-600/R/CF/RCF,1250511.0,2688646.0,3410409.0,3632645.0,4185544.0,3903244.0,3076689.0,2575619.0,2310381.0,2407184.0
868,British Aerospace BAe-146-300,1224645.0,1243872.0,1418951.0,1478399.0,1692298.0,1821290.0,2024537.0,2487624.0,2614053.0,2445108.0
483,De Havilland DHC8-100 Dash-8,1185475.0,1360488.0,1492919.0,1439240.0,1511196.0,1495496.0,2271647.0,2751372.0,2312787.0,2400695.0
817,Boeing 747-200/300,1171568.0,1009720.0,410009.0,359811.0,230096.0,407431.0,643740.0,407564.0,1259347.0,1321421.0
450,Fokker Friendship F-27/Fairchild F-27/A/B/F/J,1054557.0,718336.0,318837.0,181996.0,,,,,,
467,Swearingen Metro III,1035461.0,1084987.0,971101.0,946928.0,646993.0,451025.0,272468.0,6869.0,0.0,
694,Airbus Industrie A320-100/200,1013040.0,3069473.0,6352634.0,8989030.0,13438598.0,14926262.0,15309186.0,17489675.0,20229949.0,26438588.0
635,McDonnell Douglas DC-9-15F,983209.0,165735.0,1538.0,639.0,1286.0,133173.0,0.0,0.0,0.0,0.0
461,Embraer EMB-120 Brasilia,758455.0,1173916.0,937893.0,1595435.0,3850520.0,4201918.0,3642775.0,3260517.0,2753249.0,2960594.0
866,British Aerospace BAe-146-100/RJ70,676781.0,69380.0,,3850.0,123372.0,20011.0,,,,
570,De Havilland DHC7 Dash-7,608533.0,398784.0,379111.0,382425.0,,,,,,
469,British Aerospace Jetstream 31,527532.0,1683712.0,1486479.0,1290932.0,890696.0,852336.0,1069099.0,1108354.0,1053279.0,223334.0
645,McDonnell Douglas DC-9-40,400474.0,594848.0,1683563.0,1652081.0,1850576.0,1758861.0,1837067.0,1663568.0,2027647.0,1745434.0
464,Embraer EMB-110 Bandeirante,258259.0,558.0,,113133.0,149062.0,,,,,
489,Shorts 360,240782.0,298316.0,705864.0,611473.0,810360.0,660034.0,265165.0,,,
408,British Aerospace BAe-ATP,227153.0,630420.0,810011.0,641336.0,655964.0,638924.0,685865.0,712632.0,614920.0,20244.0
441,Aerospatiale/Aeritalia ATR-42,196844.0,873115.0,2103245.0,2107814.0,4242402.0,4392393.0,4605652.0,4546850.0,4357328.0,3424911.0
692,Airbus Industrie A310-200C/F,167733.0,121514.0,185903.0,187174.0,0.0,,,,4688.0,
412,Casa/Nurtanio C212 Aviocar,147293.0,156609.0,120040.0,270.0,,,,,,
430,Convair CV-580,145712.0,,227.0,,,,,95.0,,0.0
819,Boeing 747-400,135416.0,281769.0,243255.0,306141.0,254811.0,163771.0,194036.0,354746.0,1378083.0,885558.0
765,Lockheed L-1011-500 Tristar,130991.0,208379.0,237792.0,442214.0,1149049.0,1181014.0,1954226.0,2899655.0,2320984.0,1568863.0
854,McDonnell Douglas DC-8-62,82369.0,67651.0,151281.0,20612.0,8173.0,460.0,0.0,0.0,0.0,0.0
822,Boeing 747SP,53188.0,71815.0,93314.0,138346.0,,,,,,
711,Boeing 727-100C/QC,25173.0,21443.0,23141.0,21669.0,29105.0,39338.0,35551.0,21519.0,26470.0,16145.0
851,McDonnell Douglas DC-8-61,18528.0,49360.0,42275.0,84.0,99.0,0.0,0.0,0.0,0.0,0.0
550,Lockheed L-188A/C Electra,14311.0,14103.0,27181.0,27500.0,42210.0,49249.0,45578.0,49846.0,42062.0,34018.0
465,Nihon YS-11,8779.0,8018.0,11963.0,10160.0,,,,,,34810.0
405,Beech 1900 A/B/C/D,7898.0,,287763.0,413490.0,1983261.0,3606979.0,2312604.0,685156.0,684566.0,597446.0
442,Aerospatiale/Aeritalia ATR-72,2967.0,133625.0,746837.0,1444582.0,3274263.0,4135833.0,4253366.0,4331622.0,3748370.0,3820251.0
808,Boeing 707-300B,1692.0,,,,,,,,,
852,McDonnell Douglas DC-8-63F,1291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
454,Fairchild-Hiller FH-227,586.0,,,,,,,,,
856,McDonnell Douglas DC-8-63,0.0,0.0,0.0,,0.0,141.0,0.0,0.0,0.0,0.0
865,McDonnell Douglas DC-8-73F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
864,McDonnell Douglas DC-8-73,0.0,0.0,0.0,,,,0.0,0.0,,0.0
218,McDonnell Douglas DC-6A,0.0,,0.0,0.0,,,,0.0,0.0,115.0
216,McDonnell Douglas DC-6,0.0,0.0,,,,,,0.0,,
850,McDonnell Douglas DC-8-50F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820,Boeing 747-400F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
809,Boeing 707-300C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
800,Boeing 707-100,0.0,0.0,0.0,,,,,,,
556,Lockheed L100-30/L-382E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
143,Convair CV-340/440,0.0,,,,,,,,0.0,
7,Aero Commander 200,,,,,,,,,,
8,Aero Macchi AL-60,,,,,,,,,,
9,Aeronca 7-AC,,,,,,,,,,
10,Beech Bonanza 35A/C/D/E/G/H/J/K/S/V/  36A,,,,,,,,,,
20,Bellanca CH-300,,,,,,,,,,
24,Beech B-23 Musketeer,,,,,,,,,,
26,Gipps Aero Ga8 Airvan,,,,,,,,,,
29,Cessna 150/152,,,,,,,,,,
30,Cessna 180,,,,,,,,,,
31,Cessna 180A/B,,,,,,,,,,
32,Cessna 180C/D/E/F,,,,,,,,,,
33,Cessna 185A/B/C Skywagon,,,,,,,,,,
34,Helio H-250/295/395,,,,,,,,,,
35,Cessna C206/207/209/210 Stationair,,389.0,944.0,,42.0,85.0,1.0,39.0,0.0,20.0
36,Cessna 172 Skyhawk,,,,,,,,,,
37,Cessna 195,,,,,,,,,,
38,Cessna 177 Cardinal,,,,,,,,,,
39,Cessna 182 Skylane,,,,,,,,,,
40,De Havilland DHC2 Beaver,,,,,,,,,,
41,Cessna 205,,,,,,,,,,
42,De Havilland DHC3 Otter,,,,,,,,,,
44,Lake LA-4,,,,,,,,,,
50,Howard DGA-15P,,,,,,,,,,
51,Mooney M-21,,,,,,,,,,
52,Mooney M-20C/E/G,,,,,,,,,,
65,Noorduyn UC-64AS,,,,,,,,,,
70,Pilatus Porter PC6,,,,,,,,,,
71,Pilatus Porter PC6/350,,,,,,,,,,
79,Piper PA-32 (Cherokee 6),,,,,232.0,922.0,1907.0,1726.0,793.0,1186.0
80,Piper PA-18 (Super-Cub),,,,,,,,,,
81,Piper PA-14 (Family-Cruiser),,,,,,,,,,
82,Piper PA-22 (Tri-Pacer),,,,,,,,,,
83,Piper PA-24 (Comanche),,,,,,,,,,
84,Piper PA-28 (Cherokee),,,,,,,,,,
85,Stinson SR-9,,,,,,,,,,
86,Piper PA-12 (Supercruiser),,,,,,,,,,
87,Stinson V-77,,,,,,,,,,
88,Stinson SR-10E Bushman,,,,,,,,,,
91,Float/Amphib Turbine,,,,,,,,,,
92,Float/Amphib Piston-Lt 450 Hp,,,,,,,,,,
93,Float/Amphib Piston-450+ Hp,,,,,,,,,,
94,Land-Turbine,,,,,,,,,,
95,Land-Piston-Lt 450 Hp,,,,,,,,,,
96,Land-Piston-450+ Hp,,,,,,,,,,
97,Stinson F.W. 300-450 Hp,,,,,,,,,,
98,Stinson 0-299 Hp,,,,,,,,,,
102,P2012 Traveler,,,,,,,,,,
103,Aero Commander (500/600 Series Excpt 680FL),,,,,,,,,,
104,Grand Commander 680FL,,,,,,,,,,
105,Beech C-50 (Twin Bonanza),,,,,,,,,,
110,"Beechcraft Beech 18 C-185 (Federal Express has waiver to report all its small aircraft under code 110, regardless of actual aircraft type)",,0.0,,,,,,,,
111,Beech King Air 90,,,,,,,,,,
113,Beech B-95 (Travelair),,,,,,,,,,
115,Beech AT-11,,,,,,,,,,
117,Beech Baron (55 Series),,,,,,,,,,
120,Cessna T-50 (Bobcat),,,,,,,,,,
121,Cessna C-421,,,,,,,,,,
122,Cessna C-310 Series,,,,,,,,,,
123,Cessna C-340/335,,,,,,,,,,
125,Cessna C-402/402A/402B,,461.0,,,,,0.0,0.0,0.0,0.0
128,Cessna 404,,,,,,,,,,
130,C-28 5ACF PBY,,,,,,,,,,
131,Pilatus Britten-Norman BN2/A Islander,,,,,,,,,,
132,C-28 5ACF-PBY-EMQ,,,,,,,,,,
133,Beech 65/65A-80/65B-80 (Queen Air),,,,,,,,,,
140,Convair CV-240,,,,,,,,,,
148,Cessna C-337 (Super Sky Master),,,,,,,,,,0.0
149,Cessna C-401,,,,,,,,,,
150,Curtiss C46/20t/A/D/F/R Commando,,,,,,,,,,5.0
152,Cessna C-411,,,,,,,,,,
153,De Havilland DHC4 Caribou,,,,,,,,,,
158,McDonnell Douglas DC-2,,,,,,,,,,
159,Hamilton B-18s Little Liner (Converted),,,,,,,,,,
160,"McDonnell Douglas DC-3/A/C,C-47/B",,,,,,,,,,
161,Dornier Do-28 Skyservant,,,,,,,,,,
166,Cessna C-336,,,,,,,,,,
167,Fairchild C-82A,,,,,,,,,,
170,Grumman G-21A (Goose),,,,,,,,,,
171,Grumman SA-16A-GR (Albatross),,,,,,,,,,
172,Grumman G-44/44A (Widgeon),,,,,,,,,,
173,Grumman G-73 (Mallard),,,,,,,,,,
174,De Havilland Dove DH-104,,,,,,,,,,
175,Lockheed L-12A/L-10/10A,,,,,,,,,,
180,Martin 202/202A,,,,,,,,,,
185,Martin 404,,,,,,,,,,
190,Piper PA-23-250 (Aztec/Apache),,,,,,,,,,
193,Piper T-1020,,,,,,,,,,
194,Piper PA-31 (Navajo)/T-1020,,,,,,,,,,252.0
195,Piper PA-34/39 (Twin Commanche),,,,,,,,,,
200,Boeing 377 Stratocruiser,,,,,,,,,,
