Code,Description,pax_1990,pax_1991,pax_1992,pax_1993,pax_1994,pax_1995,pax_1996,pax_1997,pax_1998,pax_1999,pax_2000,pax_2001,pax_2002,pax_2003,pax_2004,pax_2005,pax_2006,pax_2007,pax_2008,pax_2009,pax_2010,pax_2011,pax_2012,pax_2013,pax_2014,pax_2015,pax_2016,pax_2017,pax_2018,pax_2019,pax_2020,pax_2021,pax_2022
7,Aero Commander 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Aero Macchi AL-60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Aeronca 7-AC,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
10,Beech Bonanza 35A/C/D/E/G/H/J/K/S/V/  36A,,,,,,,,,,,,,110.0,142.0,94.0,189.0,748.0,956.0,885.0,639.0,642.0,621.0,717.0,933.0,943.0,517.0,640.0,571.0,487.0,511.0,134.0,22.0,
20,Bellanca CH-300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Beech B-23 Musketeer,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,
26,Gipps Aero Ga8 Airvan,,,,,,,,,,,,,,,,,,,,,,,,,3492.0,8537.0,9716.0,18292.0,21767.0,20767.0,11771.0,13874.0,22466.0
29,Cessna 150/152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Cessna 180,,,,,,,,,,,,,451.0,1384.0,987.0,1064.0,1294.0,682.0,587.0,722.0,1075.0,1010.0,1126.0,314.0,713.0,226.0,79.0,51.0,32.0,25.0,14.0,18.0,34.0
31,Cessna 180A/B,,,,,,,,,,,,,,,,,,,6.0,,,,4.0,9.0,,1.0,100.0,49.0,110.0,,,,
32,Cessna 180C/D/E/F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Cessna 185A/B/C Skywagon,,,,,,,,,,,,,1396.0,2265.0,2092.0,2471.0,1681.0,779.0,199.0,151.0,103.0,688.0,401.0,905.0,491.0,254.0,387.0,906.0,1355.0,579.0,13.0,191.0,326.0
34,Helio H-250/295/395,,,,,,,,,,,,,73.0,427.0,219.0,148.0,160.0,214.0,173.0,174.0,145.0,158.0,199.0,176.0,196.0,56.0,34.0,75.0,60.0,38.0,41.0,43.0,90.0
35,Cessna C206/207/209/210 Stationair,,389.0,944.0,,42.0,85.0,1.0,39.0,0.0,20.0,20.0,,180067.0,197006.0,228934.0,249266.0,247104.0,258978.0,250586.0,247783.0,265961.0,265733.0,233333.0,220093.0,244748.0,212341.0,188237.0,137040.0,139892.0,138307.0,50012.0,73689.0,82363.0
36,Cessna 172 Skyhawk,,,,,,,,,,,,,8308.0,10667.0,11259.0,10533.0,1292.0,3985.0,425.0,316.0,240.0,199.0,205.0,92.0,54.0,1401.0,6328.0,842.0,3234.0,1815.0,1893.0,1968.0,2444.0
37,Cessna 195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Cessna 177 Cardinal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Cessna 182 Skylane,,,,,,,,,,,,,,17.0,,20.0,132.0,,,,55.0,51.0,10.0,143.0,,,,,,,,,8.0
40,De Havilland DHC2 Beaver,,,,,,,,,,,,,42073.0,74119.0,71535.0,60795.0,62277.0,84030.0,76336.0,84033.0,85226.0,81907.0,74662.0,74656.0,84008.0,66208.0,67275.0,57747.0,51153.0,33722.0,11092.0,21152.0,26863.0
41,Cessna 205,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,
42,De Havilland DHC3 Otter,,,,,,,,,,,,,40597.0,60132.0,68604.0,51663.0,39700.0,51502.0,52978.0,42657.0,44520.0,39733.0,38748.0,41513.0,71614.0,45266.0,51799.0,61523.0,57815.0,56218.0,36631.0,86457.0,91301.0
44,Lake LA-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Howard DGA-15P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Mooney M-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Mooney M-20C/E/G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Noorduyn UC-64AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Pilatus Porter PC6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Pilatus Porter PC6/350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Piper PA-32 (Cherokee 6),,,,,232.0,922.0,1907.0,1726.0,793.0,1186.0,1186.0,1327.0,61972.0,72970.0,132398.0,116775.0,121778.0,98439.0,88364.0,70088.0,83277.0,81761.0,57414.0,28200.0,80672.0,88602.0,74141.0,74940.0,88017.0,99176.0,43999.0,60131.0,64457.0
80,Piper PA-18 (Super-Cub),,,,,,,,,,,,,4.0,,2.0,,1.0,2.0,,,,,,8.0,32.0,20.0,1.0,,,,,,
81,Piper PA-14 (Family-Cruiser),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Piper PA-22 (Tri-Pacer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Piper PA-24 (Comanche),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Piper PA-28 (Cherokee),,,,,,,,,,,,,1987.0,6444.0,4562.0,3313.0,2964.0,1937.0,,,,,,,,,,,,,,,
85,Stinson SR-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Piper PA-12 (Supercruiser),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Stinson V-77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Stinson SR-10E Bushman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Float/Amphib Turbine,,,,,,,,,,,,,3343.0,1135.0,1868.0,1619.0,640.0,5048.0,8290.0,6952.0,4404.0,4982.0,1506.0,1964.0,1689.0,1586.0,1292.0,1485.0,1010.0,467.0,1266.0,4713.0,4125.0
92,Float/Amphib Piston-Lt 450 Hp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Float/Amphib Piston-450+ Hp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Land-Turbine,,,,,,,,,,,,,22.0,4.0,16.0,,,4.0,2.0,,,,,5.0,,,,,,,,212.0,323.0
95,Land-Piston-Lt 450 Hp,,,,,,,,,,,,,19.0,3.0,,,,,5.0,,,,,,,,,,,,,,
96,Land-Piston-450+ Hp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Stinson F.W. 300-450 Hp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Stinson 0-299 Hp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,P2012 Traveler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1878.0
103,Aero Commander (500/600 Series Excpt 680FL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Grand Commander 680FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Beech C-50 (Twin Bonanza),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,"Beechcraft Beech 18 C-185 (Federal Express has waiver to report all its small aircraft under code 110, regardless of actual aircraft type)",,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,Beech King Air 90,,,,,,,,,,,,,593.0,3989.0,5761.0,6348.0,1601.0,1450.0,1379.0,,,,,,,,,,,,,,
113,Beech B-95 (Travelair),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Beech AT-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Beech Baron (55 Series),,,,,,,,,,,,,1262.0,667.0,590.0,748.0,379.0,173.0,1245.0,2217.0,8194.0,320.0,555.0,521.0,425.0,192.0,129.0,63.0,19.0,63.0,44.0,2.0,
120,Cessna T-50 (Bobcat),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Cessna C-421,,,,,,,,,,,,,,,,,,,,,,,,,,,127.0,125.0,,,,,
122,Cessna C-310 Series,,,,,,,,,,,,,87.0,335.0,327.0,38.0,,,,,,,,,,,,,,,,,
123,Cessna C-340/335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Cessna C-402/402A/402B,,461.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,112520.0,513294.0,522155.0,560971.0,550507.0,544193.0,561552.0,489895.0,527147.0,673211.0,705062.0,630090.0,604978.0,551046.0,501353.0,462088.0,470503.0,462688.0,247860.0,411820.0,361107.0
128,Cessna 404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,C-28 5ACF PBY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Pilatus Britten-Norman BN2/A Islander,,,,,,,,,,,,,24760.0,51206.0,55722.0,55321.0,51393.0,58299.0,60720.0,60062.0,86958.0,94987.0,70776.0,45507.0,141754.0,176509.0,184916.0,154137.0,113049.0,129337.0,83488.0,126219.0,102412.0
132,C-28 5ACF-PBY-EMQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Beech 65/65A-80/65B-80 (Queen Air),,,,,,,,,,,,,951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
140,Convair CV-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Convair CV-340/440,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,
148,Cessna C-337 (Super Sky Master),,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
149,Cessna C-401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Curtiss C46/20t/A/D/F/R Commando,,,,,,,,,,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,Cessna C-411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,De Havilland DHC4 Caribou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,McDonnell Douglas DC-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Hamilton B-18s Little Liner (Converted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,"McDonnell Douglas DC-3/A/C,C-47/B",,,,,,,,,,,,,1089.0,,,,,,,,,,,,,,,,,,,,
161,Dornier Do-28 Skyservant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Cessna C-336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Fairchild C-82A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Grumman G-21A (Goose),,,,,,,,,,,,,3965.0,4661.0,4760.0,4708.0,4169.0,4263.0,2947.0,2608.0,2656.0,2963.0,1830.0,,,,,,,,,,
171,Grumman SA-16A-GR (Albatross),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Grumman G-44/44A (Widgeon),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Grumman G-73 (Mallard),,,,,,,,,,,,,,17.0,,228.0,,,,,,,,,,,,,,,,,
174,De Havilland Dove DH-104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Lockheed L-12A/L-10/10A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Martin 202/202A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Martin 404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Piper PA-23-250 (Aztec/Apache),,,,,,,,,,,,,6.0,5231.0,5012.0,2910.0,,1.0,,,,,1601.0,994.0,,,,,,,,,
193,Piper T-1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Piper PA-31 (Navajo)/T-1020,,,,,,,,,,252.0,252.0,445.0,154249.0,175198.0,161477.0,171129.0,193368.0,178887.0,157264.0,136874.0,139485.0,135840.0,139130.0,127869.0,152583.0,150334.0,149347.0,136465.0,114003.0,102549.0,31244.0,46296.0,47557.0
195,Piper PA-34/39 (Twin Commanche),,,,,,,,,,,,,544.0,3658.0,1916.0,419.0,800.0,1206.0,264.0,401.0,332.0,,72.0,,,,31.0,5.0,7.0,25.0,15.0,12.0,
200,Boeing 377 Stratocruiser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Pilatus Britten-Norman BN2A Trislander,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,0.0,0.0
205,De Havilland DH-114 Heron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,McDonnell Douglas DC-4(C54/C54A/C54B/C54E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,McDonnell Douglas DC-6,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
218,McDonnell Douglas DC-6A,0.0,,0.0,0.0,,,,0.0,0.0,115.0,115.0,2.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
220,McDonnell Douglas DC-6B,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
225,McDonnell Douglas DC-7A/B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,McDonnell Douglas DC-7C,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,Lockheed L-049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,Lockheed L-649,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,
244,Lockheed L-749/749A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,Lockheed L-1049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,Lockheed L-1049C/D/E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,Lockheed L-1049G/H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Lockheed L-1649A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,Sikorsky VS-44A (Amphibian),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,Sud Alouette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,Bell B-47D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,Bell B-47G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,Bell B-47G2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,Bell B-47J2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,Bell B-206A,,,,,,,,,,,,,116.0,1110.0,1063.0,1157.0,943.0,1275.0,926.0,0.0,0.0,,,,,,,,,,,,
317,Hu-1h 204B,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,7.0,0.0,2.0,2.0,8.0,4.0
320,Boeing Vertol BV-107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,Boeing Vertol BV-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,Brantley B-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,Fairchild-Hiller FH-1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,Agusta A-119 Koala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,9.0,49.0,50.0
330,Boelkow Bo-105c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,Airbus Industrie A330-900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3653.0,2007.0,147916.0,157136.0
340,Eurocompter AS350 B2 AStar,,,,,,,,,,,,,,,,,,,,,,1405.0,1450.0,1445.0,1776.0,1404.0,489.0,188.0,377.0,78.0,50.0,211.0,386.0
343,Airbus Industrie A330-223/234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,Bell 212 Twin Two Twelve,,,,,,,,,,,,,,,,,,,,,,,,,,138.0,706.0,219.0,,,24.0,,
350,Hughes 300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,Hughes-500/530,,,,,,,,,,,,,,,,,,,,,,,,142.0,185.0,74.0,213.0,179.0,146.0,67.0,64.0,240.0,373.0
359,Airbus Industrie A350-900,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1847.0,7897.0,10055.0,183246.0,353225.0
360,Robinson R44,,,,,,,,,,,,,50.0,109.0,121.0,103.0,174.0,193.0,223.0,174.0,200.0,331.0,588.0,493.0,333.0,434.0,1599.0,214.0,262.0,285.0,124.0,291.0,280.0
362,Bht 206 Lt Long Ranger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.0,141.0,43.0,126.0,79.0
364,Bht 206 L4 Long Ranger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2925.0,3289.0,1341.0,1775.0,2147.0
366,Bell Bht 407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.0,497.0,311.0,441.0,499.0
368,Bell Bht 412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.0,112.0,529.0,480.0,705.0
370,Air Bus Euro Bo-105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,54.0,96.0,52.0,12.0
380,Sikorsky S-51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,Sikorsky S-55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,Sikorsky S-58A/B/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,Sikorsky S-61N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,Sikorsky S-61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,Sikorsky S-61L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,Sikorsky S-62/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,Sikorsky S-76,,,,,,,,,,,,,,,,,2030.0,10996.0,11092.0,4707.0,,,,,,,,104.0,158.0,,14.0,,32.0
393,Agustawestland AW139,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,452.0,337.0,95.0,284.0,146.0
395,DHC-6-400 Twin Otter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,673.0,1458.0,1137.0
396,Westland SR-N5 (Acv),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,Beech 1300,,,,,,,,,,,,,103.0,,,,,,,,,,,,,,,,,,,,
402,Beech Model 18 Turbo-Prop Conversions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,Beech 99 Airliner,,,,,,,,,,,,,0.0,0.0,0.0,42.0,727.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
404,Beech C99,,520.0,,,,,,,,,,,11151.0,17391.0,11632.0,3050.0,13140.0,2952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
405,Beech 1900 A/B/C/D,7898.0,,287763.0,413490.0,1983261.0,3606979.0,2312604.0,685156.0,684566.0,597446.0,597446.0,208817.0,677344.0,2434831.0,2575375.0,2430651.0,2363838.0,2298481.0,1280794.0,921851.0,939014.0,959097.0,964298.0,900837.0,393712.0,251650.0,146846.0,99133.0,59709.0,49556.0,27901.0,28433.0,30908.0
406,Beech 200 Super Kingair,,,,,,,,,,,,,17849.0,18083.0,13723.0,11168.0,13013.0,13681.0,10213.0,11731.0,14653.0,23325.0,20968.0,21859.0,18726.0,15943.0,14349.0,15209.0,15003.0,17617.0,9992.0,11577.0,17539.0
407,British Aerospace (Hawker-Siddeley) BAe-748,,,,,,,,,,,,,,,1637.0,,,,,,,,,,,,,,,,,,
408,British Aerospace BAe-ATP,227153.0,630420.0,810011.0,641336.0,655964.0,638924.0,685865.0,712632.0,614920.0,20244.0,20244.0,,,,1811.0,,,,,,,,,,,,,,,,,,
409,Beechcraft King Air B100,,,,,,,,,,,,,,,,,,,,,,,,,,,128.0,,,,,,
410,Rockwell Turbo-Commander 680-W/690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,Beech King Air 65-A90 Queen Air,,,,,,,,,,,,,,6058.0,8151.0,378.0,10.0,,,,,,,,,,,,,,,,
412,Casa/Nurtanio C212 Aviocar,147293.0,156609.0,120040.0,270.0,,,,,,,,,3626.0,287.0,13.0,79.0,26.0,108.0,27.0,61.0,7.0,15.0,8.0,25.0,18.0,25.0,49.0,4.0,0.0,1.0,0.0,0.0,2.0
413,Casa 235,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
415,Cessna C208B/Grand Caravan,,,,,,,,,,,,,,,,,1127.0,34718.0,32961.0,90671.0,116541.0,49145.0,51994.0,106084.0,172891.0,217620.0,229318.0,245570.0,262300.0,263707.0,139984.0,188635.0,674917.0
416,Cessna 208 Caravan,,,,0.0,,,251.0,263.0,412.0,2288.0,2288.0,3516.0,197094.0,285683.0,333786.0,340335.0,372517.0,474503.0,463115.0,426370.0,454271.0,489667.0,561614.0,575115.0,866943.0,835145.0,720130.0,748677.0,772110.0,642181.0,288895.0,600626.0,374196.0
417,Cessna 406 Caravan II,,,,,,,,,,,,,35174.0,30946.0,31449.0,22468.0,31320.0,34850.0,28926.0,24237.0,23950.0,15692.0,16683.0,19543.0,16915.0,15580.0,7048.0,,,,,,
418,Cessna C-441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,Convair CV-540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,Quest Kodiak 100,,,,,,,,,,,,,,,,,,,,,,9.0,4546.0,5951.0,,,,,,,,,
425,Piaggio P180 Avanti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,Convair CV-580,145712.0,,227.0,,,,,95.0,,0.0,0.0,0.0,88927.0,52418.0,58166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
431,Socata TBM850,,,,,,,,,,,,,,,,,,,,,,122.0,128.0,184.0,103.0,89.0,,,,,,74.0,63.0
432,Saab 2000,,,,,,,,,,,,,,,,,,,,,,,,,,,71894.0,127853.0,126689.0,156271.0,20757.0,,
433,Socata TBM-700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,Raytheon King Air A100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,Convair CV-600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,Raytheon Beechcraft Baron B-58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,Convair CV-640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,Aerospatiale/Aeritalia ATR-42,196844.0,873115.0,2103245.0,2107814.0,4242402.0,4392393.0,4605652.0,4546850.0,4357328.0,3424911.0,3424911.0,2651785.0,1533439.0,325093.0,109633.0,125695.0,137534.0,117998.0,110830.0,103718.0,112455.0,96810.0,113956.0,122198.0,208964.0,279601.0,348110.0,336692.0,250898.0,262604.0,190586.0,215482.0,240472.0
442,Aerospatiale/Aeritalia ATR-72,2967.0,133625.0,746837.0,1444582.0,3274263.0,4135833.0,4253366.0,4331622.0,3748370.0,3820251.0,3820251.0,3093199.0,2534507.0,2613402.0,2661488.0,2090791.0,1912343.0,1822445.0,1667766.0,1530007.0,1579612.0,1655143.0,476647.0,283671.0,448404.0,358331.0,482368.0,334178.0,0.0,3613.0,43089.0,110715.0,153626.0
443,Air Tractor AT-802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,Antonov 24/26/32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,Convair CV-660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,Dornier 228,,,,,,,,,,,,,,,,,,,,,56710.0,73361.0,62150.0,79010.0,52611.0,28560.0,,,,,,,
449,Dornier 328,,,,,460178.0,604103.0,270316.0,352541.0,642199.0,1132717.0,1132717.0,1670836.0,1758493.0,1214860.0,426723.0,,,,50914.0,55245.0,74571.0,77744.0,35303.0,,,,,,,624.0,5739.0,9168.0,23187.0
450,Fokker Friendship F-27/Fairchild F-27/A/B/F/J,1054557.0,718336.0,318837.0,181996.0,,,,,,,,,24186.0,17936.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
451,Pipistrel D O O Virus Sw 121c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
